1201, 479, 57137 
1123, 595, 57191 
1068, 452, 57243 
1176, 513, 57278 
1328, 424, 57325 
974, 628, 57369 
977, 582, 57407 
1153, 611, 57441 
1160, 492, 57470 
993, 587, 57496 
1112, 602, 57530 
932, 584, 57567 
1077, 588, 57599 
1116, 523, 57626 
1254, 372, 57665 
865, 572, 57693 
709, 591, 57729 
1029, 566, 57755 
979, 716, 57788 
952, 563, 57831 
746, 726, 57859 
1101, 639, 57894 
1060, 381, 57927 
643, 414, 57957 
898, 447, 57988 
1016, 383, 58016 
904, 505, 58042 
713, 511, 58074 
877, 650, 58102 
760, 585, 58128 
852, 737, 58158 
615, 652, 58193 
936, 438, 58226 
534, 624, 58254 
526, 705, 58286 
892, 600, 58312 
1081, 479, 58342 
1399, 385, 58375 
1373, 437, 58403 
1209, 506, 58430 
1344, 421, 58460 
1504, 427, 58491 
1375, 444, 58523 
1308, 419, 58552 
1420, 388, 58580 
1476, 554, 58609 
1334, 459, 58642 
1251, 587, 58672 
992, 479, 58698 
992, 479, 58723 
1213, 442, 58758 
957, 540, 58793 
1083, 437, 58839 
1145, 511, 58893 
1649, 604, 58935 
1570, 602, 58985 
1605, 556, 59027 
1197, 707, 59064 
831, 491, 59098 
831, 491, 59134 
440, 704, 59175 
899, 516, 59232 
770, 627, 59277 
620, 667, 59310 
818, 342, 59349 
1095, 437, 59399 
1201, 367, 59432 
360, 518, 59469 
244, 567, 59506 
429, 388, 59564 
436, 519, 59604 
468, 553, 59664 
658, 167, 59794 
453, 278, 59824 
633, 250, 59856 
835, 73, 59888 
766, 307, 59923 
1136, 177, 59985 
787, 290, 60021 
336, 364, 60057 
596, 204, 60093 
288, 478, 60139 
663, 358, 60182 
714, 264, 60220 
219, 664, 60258 
574, 477, 60296 
311, 621, 60336 
1083, 450, 60384 
994, 380, 60421 
904, 503, 60466 
836, 458, 60506 
904, 551, 60619 
1101, 671, 60666 
1343, 628, 60702 
1034, 575, 60740 
1034, 575, 60772 
1108, 554, 60804 
1008, 603, 60839 
634, 707, 60868 
889, 493, 60903 
960, 630, 60938 
1065, 634, 60969 
988, 654, 60998 
1083, 536, 61031 
1445, 527, 61062 
1308, 732, 61131 
1333, 531, 61170 
1105, 522, 61205 
961, 520, 61239 
806, 582, 61274 
1727, 550, 61311 
1483, 647, 61386 
845, 681, 61421 
898, 571, 61454 
791, 532, 61488 
571, 609, 61525 
414, 648, 61564 
872, 451, 61601 
759, 598, 61639 
718, 538, 61677 
904, 537, 61707 
1253, 615, 61751 
1022, 573, 61780 
888, 632, 61815 
919, 765, 61856 
1018, 515, 61893 
1004, 591, 61927 
1245, 415, 61964 
814, 642, 61998 
924, 769, 62034 
1288, 661, 62067 
1183, 660, 62103 
1100, 781, 62132 
994, 576, 62164 
1295, 711, 62206 
1369, 893, 62243 
1034, 765, 62290 
1192, 788, 62327 
1125, 781, 62369 
1303, 580, 62414 
1092, 879, 62453 
1198, 609, 62501 
1224, 633, 62535 
1069, 584, 62567 
875, 511, 62607 
872, 507, 62640 
744, 666, 62672 
557, 660, 62704 
685, 653, 62738 
520, 650, 62773 
909, 452, 62811 
907, 579, 62856 
907, 513, 62891 
1066, 513, 62931 
1279, 503, 62964 
845, 629, 63010 
747, 615, 63047 
1010, 616, 63076 
887, 482, 63112 
778, 675, 63152 
759, 631, 63187 
1260, 594, 63223 
1137, 465, 63257 
1004, 577, 63307 
1063, 520, 63352 
914, 501, 63380 
864, 698, 63423 
991, 592, 63461 
781, 734, 63497 
959, 645, 63538 
1025, 540, 63575 
953, 657, 63613 
1113, 519, 63644 
